b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.1201486, -0.1741536, 0.2131586, -0.2016456, 0.538661, -0.6071734, -0.1201486, -0.1741536, 0.2131586, -0.2016456, 0.538661, -0.6071734, -0.1172899, -0.1491644, 0.2062597, -0.2094751, 0.02009952, -0.5027335, -0.1298763, -0.1274582, 0.2017494, 0.03364709, -0.007506758, -0.5911427, -0.1399147, -0.09566674, 0.2026727, 0.006148934, 0.09691022, -0.6183012, -0.1474239, -0.06227571, 0.2081763, 0.04431798, -0.01735993, -0.4671062, -0.1056881, -0.07538594, 0.2324596, -0.2580338, 0.4802926, -0.6879542, -0.08981761, -0.04010077, 0.2365488, -0.2682443, 0.4997962, -0.6798545, -0.07924718, -0.01765989, 0.239039, -0.2224301, 0.5402135, -0.6454412, -0.08929399, -0.08628528, 0.2441962, -0.480843, 0.3538043, -0.8016322, -0.06571005, -0.06907193, 0.2112341, -0.5972285, -0.05583382, -0.6041317, -0.0731655, -0.08887011, 0.1924969, -0.4936267, -0.2301555, -0.340836, -0.07327873, -0.1003658, 0.244813, -0.5013164, 0.3910627, -0.7709224, -0.05349772, -0.0823484, 0.2150769, -0.6505386, 0.03805802, -0.6095031, -0.06042459, -0.09600154, 0.1925236, -0.6294377, -0.1695022, -0.3893802, -0.08500338, -0.1517563, 0.2247681, -0.2333501, 0.7203965, -0.5145851, -0.05842854, -0.1166263, 0.2406588, -0.2503259, 0.6637319, -0.6223035, -0.0377687, -0.09317406, 0.2446855, -0.2409461, 0.69945, -0.6078206, -0.02282252, -0.07884257, 0.2469934, -0.2534859, 0.6896081, -0.5885822, -0.1625429, -0.04206274, 0.2090325, 0.04431798, -0.01735993, -0.4671062, -0.0698515, 0.002207324, 0.245707, -0.2224301, 0.5402135, -0.6454412, -0.08954878, -0.1085827, 0.1919759, -0.4936267, -0.2301555, -0.340836, -0.07570545, -0.1139959, 0.1842673, -0.6294377, -0.1695022, -0.3893802, -0.008593142, -0.06211302, 0.2519901, -0.2534859, 0.6896081, -0.5885822
-0.1428611, -0.1969017, 0.2387993, 0.01643801, 0.4368954, -0.7369444, -0.1428611, -0.1969017, 0.2387993, 0.01643801, 0.4368954, -0.7369444, -0.1286415, -0.1754668, 0.2344896, -0.1140968, -0.1176254, -0.6902515, -0.129137, -0.1513475, 0.2262473, 0.1377697, -0.1869874, -0.7175778, -0.1258097, -0.1182008, 0.2246519, 0.1396401, -0.0752238, -0.7560331, -0.1204544, -0.08418761, 0.2286594, 0.1199815, -0.211115, -0.623785, -0.1012697, -0.1081797, 0.2659146, -0.03476018, 0.401275, -0.8125263, -0.07627527, -0.08045249, 0.2768743, -0.04971453, 0.4240703, -0.8116986, -0.05938786, -0.06327134, 0.2832893, -0.003375726, 0.4501909, -0.7750171, -0.09568596, -0.1228181, 0.2826433, -0.259394, 0.3909792, -0.8779145, -0.05838037, -0.1212684, 0.2593003, -0.4662884, 0.08801508, -0.5222308, -0.07078817, -0.1398641, 0.2420121, -0.409114, -0.06516299, -0.1506987, -0.08746681, -0.1414996, 0.2888542, -0.300146, 0.4166056, -0.8500031, -0.05578011, -0.1394979, 0.2645213, -0.5175617, 0.1300023, -0.5068524, -0.06811197, -0.1545368, 0.2454217, -0.5206936, -0.07364751, -0.1482425, -0.1089695, -0.1872754, 0.263905, 0.004605152, 0.6481582, -0.6300731, -0.07927187, -0.1623177, 0.2901351, -0.08264059, 0.6038446, -0.7557861, -0.05180283, -0.1477673, 0.295311, -0.07585579, 0.6414616, -0.7388859, -0.03274172, -0.1398315, 0.2981046, -0.09654266, 0.6324105, -0.7298534, -0.125042, -0.05967492, 0.2246639, 0.1199815, -0.211115, -0.623785, -0.04606825, -0.04743171, 0.2932463, -0.003375726, 0.4501909, -0.7750171, -0.09468683, -0.1491069, 0.2411783, -0.409114, -0.06516299, -0.1506987, -0.09134144, -0.1635547, 0.2432912, -0.5206936, -0.07364751, -0.1482425, -0.01368307, -0.1288503, 0.3029522, -0.09654266, 0.6324105, -0.7298534
-0.158061, -0.1886238, 0.2308049, -0.3362558, 0.6301476, -0.4515178, -0.158061, -0.1886238, 0.2308049, -0.3362558, 0.6301476, -0.4515178, -0.1637297, -0.1633636, 0.2276404, -0.2353616, 0.1735587, -0.3252382, -0.182294, -0.1463681, 0.2316953, -0.04055545, 0.1391917, -0.4600367, -0.2002365, -0.1191114, 0.2385839, -0.09143586, 0.2310734, -0.4998052, -0.2138805, -0.08889569, 0.2487078, -0.01289365, 0.1381102, -0.3463342, -0.1613522, -0.09153277, 0.2607913, -0.4235962, 0.5473858, -0.5667717, -0.1519479, -0.05378266, 0.2611442, -0.448493, 0.5511381, -0.5688601, -0.1455978, -0.02971181, 0.2598035, -0.3998222, 0.601274, -0.5415032, -0.1398276, -0.0983388, 0.2647511, -0.6672528, 0.3068268, -0.6760676, -0.1353176, -0.07675414, 0.2266359, -0.6934198, -0.2448069, -0.5143258, -0.1452391, -0.09917592, 0.2125838, -0.5095205, -0.4521233, -0.3013692, -0.1217804, -0.1074308, 0.2579128, -0.6999743, 0.2999006, -0.6456661, -0.1212343, -0.08770915, 0.2231148, -0.747986, -0.1750682, -0.5143482, -0.1323994, -0.1055374, 0.2057788, -0.6383187, -0.4142918, -0.3210249, -0.1273687, -0.1583351, 0.2342955, -0.3843979, 0.7723831, -0.3636084, -0.1059437, -0.1185622, 0.246622, -0.5242138, 0.6288466, -0.5010492, -0.09671061, -0.08892681, 0.2411866, -0.5095318, 0.661648, -0.4970208, -0.0890096, -0.06999615, 0.2371331, -0.5171631, 0.6609833, -0.4659864, -0.2325827, -0.07344456, 0.2557343, -0.01289365, 0.1381102, -0.3463342, -0.138194, -0.008176684, 0.2627818, -0.3998222, 0.601274, -0.5415032, -0.1555066, -0.1217511, 0.2190809, -0.5095205, -0.4521233, -0.3013692, -0.143687, -0.1278533, 0.2055409, -0.6383187, -0.4142918, -0.3210249, -0.08176987, -0.04870583, 0.2358568, -0.5171631, 0.6609833, -0.4659864
-0.1333153, -0.2122387, 0.2388501, -0.08951962, 0.5985408, -0.5758081, -0.1333153, -0.2122387, 0.2388501, -0.08951962, 0.5985408, -0.5758081, -0.1274627, -0.186835, 0.238059, -0.09343809, 0.06662127, -0.5370817, -0.1380224, -0.1636329, 0.2383389, 0.1400944, 0.04227559, -0.6210154, -0.14553, -0.1321312, 0.2463135, 0.1135095, 0.1517204, -0.6454228, -0.1497182, -0.1002148, 0.259176, 0.1538724, 0.01683728, -0.513684, -0.1103749, -0.1226657, 0.2811242, -0.1849504, 0.5400973, -0.6837603, -0.0902037, -0.09071237, 0.2903842, -0.1991537, 0.5582162, -0.6767925, -0.07675856, -0.0704335, 0.2958177, -0.146987, 0.5935486, -0.6397044, -0.0960459, -0.1377304, 0.2907701, -0.4544634, 0.4390464, -0.7748185, -0.07023261, -0.1188677, 0.2604901, -0.6357363, -0.004664204, -0.5506455, -0.08135398, -0.1358705, 0.240847, -0.5436947, -0.2082941, -0.2723273, -0.08161913, -0.1533296, 0.2888567, -0.4838231, 0.4620934, -0.7429703, -0.06037535, -0.1342841, 0.2608189, -0.682497, 0.06880929, -0.5489295, -0.07094856, -0.1460178, 0.2386025, -0.662999, -0.1675892, -0.3068947, -0.0970088, -0.1972056, 0.2569457, -0.1306181, 0.774134, -0.4561163, -0.06822753, -0.1698321, 0.2817486, -0.225075, 0.7139536, -0.5913259, -0.04557645, -0.1485271, 0.2868555, -0.2277344, 0.7442202, -0.5769998, -0.02945863, -0.1355095, 0.2890608, -0.2377296, 0.7360244, -0.5594682, -0.1626246, -0.07911363, 0.2642798, 0.1538724, 0.01683728, -0.513684, -0.06497824, -0.05309685, 0.3052045, -0.146987, 0.5935486, -0.6397044, -0.1005249, -0.1528875, 0.2404339, -0.5436947, -0.2082941, -0.2723273, -0.08932992, -0.1617951, 0.2323838, -0.662999, -0.1675892, -0.3068947, -0.01366159, -0.120297, 0.2941944, -0.2377296, 0.7360244, -0.5594682
-0.09855657, -0.1738436, 0.1967291, -0.2696385, 0.5109429, -0.655979, -0.09855657, -0.1738436, 0.1967291, -0.2696385, 0.5109429, -0.655979, -0.09554342, -0.1507263, 0.1850356, -0.3092248, 0.02717482, -0.4957317, -0.1084692, -0.1297964, 0.1783435, -0.08036648, -0.0151175, -0.5956448, -0.1181398, -0.09812928, 0.1743447, -0.1069437, 0.079781, -0.6553536, -0.122587, -0.06375918, 0.1735978, -0.07511592, -0.01347668, -0.5001621, -0.07868943, -0.074139, 0.1957423, -0.3402366, 0.4302118, -0.7432455, -0.06020964, -0.04059553, 0.1888889, -0.3543856, 0.4443875, -0.7422247, -0.04782531, -0.01960495, 0.1836399, -0.3101687, 0.4878447, -0.7196022, -0.0615659, -0.08357993, 0.207699, -0.5185883, 0.2789829, -0.805828, -0.04155768, -0.07525688, 0.1693663, -0.565753, -0.1635848, -0.5147276, -0.05333059, -0.09861449, 0.1586679, -0.4007911, -0.3334503, -0.2052504, -0.04608142, -0.09815443, 0.2094149, -0.5412567, 0.3127781, -0.7780626, -0.02982376, -0.08846253, 0.1741743, -0.6249602, -0.09016997, -0.5175709, -0.04203511, -0.1078276, 0.1593785, -0.5359595, -0.3067243, -0.2234046, -0.06162832, -0.1516327, 0.2005482, -0.2788773, 0.6936551, -0.5759677, -0.03232556, -0.1156776, 0.2069849, -0.3656368, 0.5888805, -0.6941578, -0.01161318, -0.09361541, 0.1981924, -0.3368229, 0.6261417, -0.6843882, 0.003406532, -0.08021894, 0.1928026, -0.3548266, 0.6249068, -0.6633232, -0.1360576, -0.0424612, 0.1719179, -0.07511592, -0.01347668, -0.5001621, -0.036103, 0.0001369566, 0.1830993, -0.3101687, 0.4878447, -0.7196022, -0.07077503, -0.1150271, 0.1678107, -0.4007911, -0.3334503, -0.2052504, -0.0596033, -0.1251553, 0.1634504, -0.5359595, -0.3067243, -0.2234046, 0.01829391, -0.06368098, 0.1893123, -0.3548266, 0.6249068, -0.6633232
-0.127314, -0.2261744, 0.2594461, -0.1774125, 0.5985489, -0.5621141, -0.127314, -0.2261744, 0.2594461, -0.1774125, 0.5985489, -0.5621141, -0.1245689, -0.2004578, 0.2560782, -0.1573637, 0.09224495, -0.4662403, -0.138545, -0.1791393, 0.2564087, 0.05165568, 0.05880629, -0.5707347, -0.1499381, -0.1482239, 0.2615815, 0.01743075, 0.1622616, -0.6034636, -0.1575299, -0.1157652, 0.2710911, 0.06864192, 0.04554413, -0.4589193, -0.1105234, -0.1313091, 0.291932, -0.2731396, 0.5314579, -0.6799586, -0.09147603, -0.09752922, 0.2950547, -0.2843096, 0.5492241, -0.6718356, -0.07886072, -0.0760887, 0.2966936, -0.2348568, 0.5887133, -0.6413581, -0.09359072, -0.1438533, 0.300945, -0.5255858, 0.3819858, -0.7601606, -0.07388481, -0.126072, 0.2658095, -0.6445512, -0.09780184, -0.5263263, -0.08594708, -0.1458733, 0.2496528, -0.5067731, -0.3068906, -0.2427935, -0.07773989, -0.1579278, 0.2985386, -0.5587633, 0.3915385, -0.731082, -0.06271654, -0.1403877, 0.2658768, -0.6918969, -0.04536128, -0.5205948, -0.07508783, -0.1562384, 0.2474718, -0.6186175, -0.2925892, -0.258008, -0.09126727, -0.2058203, 0.2720138, -0.2161288, 0.7686836, -0.4550611, -0.06336384, -0.1734619, 0.2911759, -0.3354877, 0.6734087, -0.5938116, -0.04407229, -0.1485484, 0.2907259, -0.3293148, 0.703878, -0.5834123, -0.03007875, -0.1331497, 0.2896446, -0.3404496, 0.6987482, -0.5611287, -0.172875, -0.09615308, 0.2753074, 0.06864192, 0.04554413, -0.4589193, -0.06707378, -0.05726106, 0.3025276, -0.2348568, 0.5887133, -0.6413581, -0.1034134, -0.1640202, 0.254437, -0.5067731, -0.3068906, -0.2427935, -0.09227325, -0.1744042, 0.2478408, -0.6186175, -0.2925892, -0.258008, -0.01644806, -0.1152923, 0.2912683, -0.3404496, 0.6987482, -0.5611287
-0.1242012, -0.2381978, 0.2686184, -0.1329579, 0.6299608, -0.5314625, -0.1242012, -0.2381978, 0.2686184, -0.1329579, 0.6299608, -0.5314625, -0.1208585, -0.2123321, 0.2684754, -0.1001934, 0.1152603, -0.4741085, -0.1342139, -0.1907821, 0.2711492, 0.1103484, 0.0895385, -0.5772336, -0.1448053, -0.16048, 0.2802006, 0.07630901, 0.1954943, -0.5985495, -0.1519823, -0.1294325, 0.2938455, 0.1320253, 0.06799822, -0.4627204, -0.1059234, -0.148445, 0.3127436, -0.2194084, 0.5829766, -0.6430907, -0.086204, -0.1162017, 0.3219714, -0.2302825, 0.6010328, -0.6323245, -0.07318658, -0.09570695, 0.3276319, -0.1802997, 0.6363194, -0.5990868, -0.08940582, -0.1623859, 0.320368, -0.5131633, 0.4373296, -0.73796, -0.06863563, -0.1407588, 0.2881209, -0.6744459, -0.06343964, -0.5196771, -0.08140417, -0.1584686, 0.2701776, -0.5483993, -0.2919015, -0.2406461, -0.07382048, -0.1764194, 0.3164581, -0.5537791, 0.433708, -0.7104703, -0.05839013, -0.1559875, 0.2857239, -0.7165249, -0.01052194, -0.5180319, -0.07101268, -0.1695886, 0.2657559, -0.6568926, -0.2693015, -0.2688485, -0.08793579, -0.2203728, 0.2840683, -0.1796251, 0.7946804, -0.4127931, -0.05966144, -0.1912593, 0.307431, -0.3186747, 0.703945, -0.561296, -0.04008625, -0.1666353, 0.3093079, -0.308184, 0.7362384, -0.5472749, -0.02585343, -0.1514352, 0.3100086, -0.3167861, 0.7297969, -0.5257248, -0.1670454, -0.1102507, 0.3004062, 0.1320253, 0.06799828, -0.4627205, -0.06117068, -0.07844843, 0.3368628, -0.1802997, 0.6363194, -0.5990868, -0.09941622, -0.1764033, 0.2735218, -0.5483993, -0.2919015, -0.2406461, -0.08855961, -0.1873263, 0.2640387, -0.6568926, -0.2693015, -0.2688485, -0.0119699, -0.1340798, 0.3136634, -0.3167861, 0.7297969, -0.5257248
-0.105894, -0.2106916, 0.2589337, -0.006718338, 0.6397195, -0.6187071, -0.105894, -0.2106916, 0.2589337, -0.006718338, 0.6397195, -0.6187071, -0.09365521, -0.1876644, 0.2593647, -0.06856385, 0.1202149, -0.6344937, -0.09788541, -0.1626433, 0.2618076, 0.1443411, 0.05680011, -0.7188787, -0.09655049, -0.1306979, 0.2712962, 0.1283347, 0.1701515, -0.7500543, -0.09020458, -0.09965432, 0.2853555, 0.1542746, 0.03165084, -0.6396576, -0.05850292, -0.13355, 0.3051932, -0.0891876, 0.6195899, -0.7091298, -0.02840902, -0.1113459, 0.3159156, -0.1007528, 0.6387479, -0.6976047, -0.008731365, -0.09740496, 0.3222377, -0.04047394, 0.6636023, -0.6657145, -0.04818606, -0.1524876, 0.3129547, -0.4204009, 0.5252478, -0.7326701, -0.02064796, -0.1396755, 0.281072, -0.6741956, 0.05002869, -0.4063455, -0.03943418, -0.1518865, 0.2638498, -0.5849243, -0.2006077, -0.08454633, -0.03843138, -0.1710778, 0.3091629, -0.4598383, 0.5307723, -0.7043376, -0.01620551, -0.1573906, 0.2788509, -0.7083962, 0.1010877, -0.4083316, -0.03381719, -0.1661035, 0.2599577, -0.6861182, -0.1703881, -0.119243, -0.06615062, -0.2069364, 0.2756061, -0.02579068, 0.81124, -0.4757819, -0.03014297, -0.1898732, 0.3002059, -0.1795744, 0.7513468, -0.6045219, -0.003044002, -0.1739636, 0.3025688, -0.1690015, 0.7804184, -0.5831623, 0.01567149, -0.1648382, 0.3033191, -0.1785816, 0.7755881, -0.5708942, -0.09586405, -0.07595041, 0.291987, 0.1542746, 0.03165084, -0.6396576, 0.008600533, -0.08619883, 0.3323112, -0.04047394, 0.6636023, -0.6657145, -0.06260476, -0.16191, 0.2683133, -0.5849243, -0.2006077, -0.08454633, -0.05661749, -0.1763785, 0.2601576, -0.6861182, -0.1703881, -0.119243, 0.03482436, -0.1535809, 0.3070289, -0.1785816, 0.7755881, -0.5708942
-0.1174032, -0.1966154, 0.2486826, 0.1035097, 0.4267368, -0.7827114, -0.1174032, -0.1966154, 0.2486826, 0.1035097, 0.4267368, -0.7827114, -0.0983457, -0.1789676, 0.246318, -0.08969185, -0.11022, -0.7501746, -0.09452625, -0.1547707, 0.2392582, 0.1435952, -0.1898773, -0.7738061, -0.08553275, -0.1226548, 0.2392355, 0.1578232, -0.07519769, -0.821062, -0.07306753, -0.09089907, 0.2453863, 0.125084, -0.2131761, -0.7056528, -0.05869024, -0.1208308, 0.2825377, 0.03334899, 0.4124376, -0.8697752, -0.02549503, -0.1037066, 0.2934223, 0.02340404, 0.4372535, -0.8640432, -0.003667854, -0.09351632, 0.2998457, 0.0740831, 0.4548568, -0.8359677, -0.05791495, -0.1368385, 0.2989225, -0.2007012, 0.4338216, -0.8500929, -0.02173132, -0.1457192, 0.2754517, -0.45295, 0.1687855, -0.4252726, -0.03815918, -0.1597903, 0.2572647, -0.4254043, 0.006683279, -0.03357315, -0.05471388, -0.15709, 0.3048183, -0.2310863, 0.4620754, -0.8295522, -0.02257877, -0.1626147, 0.2816459, -0.4984725, 0.2027405, -0.4128925, -0.03830249, -0.1736456, 0.2623036, -0.5295619, -0.008875648, -0.0239113, -0.08421578, -0.1958677, 0.276425, 0.1109177, 0.6389452, -0.6628973, -0.05165326, -0.1792721, 0.3057016, 0.01907889, 0.61584, -0.7695238, -0.02194146, -0.1718666, 0.3131461, 0.02125855, 0.6542206, -0.7471631, -0.001678906, -0.1688567, 0.3169508, 0.0002760962, 0.646579, -0.7447414, -0.0721257, -0.0657922, 0.2428093, 0.125084, -0.2131761, -0.7056528, 0.01439742, -0.08344888, 0.3098327, 0.0740831, 0.4548568, -0.8359677, -0.06362528, -0.1621853, 0.2555285, -0.4254043, 0.006683279, -0.03357315, -0.06316147, -0.175852, 0.2606813, -0.5295619, -0.008875648, -0.0239113, 0.0192199, -0.162951, 0.3229244, 0.0002761111, 0.646579, -0.7447414
-0.1360483, -0.199917, 0.2572733, 0.09996194, 0.4872326, -0.7646053, -0.1360483, -0.199917, 0.2572733, 0.09996194, 0.4872326, -0.7646053, -0.1168611, -0.182357, 0.2553433, -0.08401462, -0.03909807, -0.7521521, -0.1134317, -0.1575033, 0.2508207, 0.1402711, -0.1201126, -0.7910953, -0.104076, -0.1256076, 0.2535504, 0.1504887, -0.004725203, -0.8345301, -0.09045537, -0.09489436, 0.2620837, 0.1288869, -0.1431759, -0.7267467, -0.07314979, -0.1292304, 0.2944737, 0.002939342, 0.4653435, -0.8529496, -0.0385965, -0.1136417, 0.3032315, -0.006087829, 0.4888549, -0.8447963, -0.01602647, -0.104332, 0.3082764, 0.04799974, 0.5072847, -0.8191516, -0.07140726, -0.1470088, 0.3088334, -0.2399878, 0.4744158, -0.8162442, -0.03694396, -0.1532287, 0.2821389, -0.5115456, 0.1610279, -0.3867442, -0.05528471, -0.1649718, 0.2641291, -0.4730331, -0.03796974, 0.0121451, -0.06818606, -0.1678389, 0.3121289, -0.2716443, 0.5042782, -0.7877306, -0.03819939, -0.1711666, 0.2858635, -0.553112, 0.2091684, -0.3790099, -0.05524155, -0.1795671, 0.2663178, -0.5805838, -0.0311464, 0.001046449, -0.100724, -0.2027539, 0.2820876, 0.1102949, 0.6893146, -0.6327717, -0.06555123, -0.1900141, 0.3102555, -0.007246688, 0.670065, -0.7338579, -0.03482416, -0.1845549, 0.3146254, -0.000571698, 0.703329, -0.7081255, -0.01415089, -0.1826986, 0.3164357, -0.01845646, 0.6987669, -0.7059923, -0.08922984, -0.06966858, 0.262285, 0.1288869, -0.1431759, -0.7267467, 0.003178492, -0.0954472, 0.3172026, 0.04799974, 0.5072847, -0.8191516, -0.08086143, -0.1662523, 0.2653387, -0.4730331, -0.03796974, 0.0121451, -0.08019599, -0.1812146, 0.2661401, -0.5805838, -0.0311464, 0.001046449, 0.007523552, -0.1782586, 0.3206576, -0.01845646, 0.6987669, -0.7059923
